id,reached,end_location,loop,loop_frame,recovery,catheter_lead,note
1,no,proximal,gw,k9_end_s601,no,yes,"Catheter shoved to target doorstep while guidewire retracted to proximal third and coiled into a loop; tracked progress never past 0.98."
2,no,doorstep,none,,yes-then-fail,no,"GW reached doorstep by s45, fell back to ~0.85 and push/pull oscillated 500 steps; late dip then re-advance to ~0.93, truncated."
3,no,doorstep,none,,no,no,"GW tip sits touching the target marker from s80 onward but never registers; slack oscillates 10-25 mm; no loop visible."
4,no,mid,gw,k9_end_s601,yes-then-fail,yes,"Tip at doorstep by s100; labelled withdrawal not visible at tip; after s350 GW retracts to mid-path and coils, catheter shoved to doorstep."
5,no,doorstep,gw,k9_end_s601,yes-then-fail,no,"GW tip at doorstep from s100; late pull-back to ~0.92 with small re-advances; proximal guidewire loop visible at end."
6,no,mid,none,,yes-then-fail,yes,"Reached 0.47 by s40, slid back to 0.33 near s150, crept to 0.38 and sat there 400 steps; catheter tip slightly ahead at end."
7,no,mid,none,,yes-then-fail,yes,"Reached 0.42 by s35, small oscillations, slipped to 0.36 by s200 then crept to 0.40; catheter tip ~10 mm ahead of GW tip at end."
8,no,mid,none,,yes-then-fail,yes,"Reached 0.38 by s35, slid to 0.30, crept to 0.37 over 500 steps; catheter tip ~15 mm ahead of GW; slack -45 mm."
9,no,mid,none,,yes-then-fail,yes,"Reached 0.37 by s35, sat at 0.33-0.37 for 550 steps; catheter tip slightly ahead of GW at end; GW slack to -30 mm; no loop."
10,no,doorstep,gw,k9_end_s601,no,no,"GW tip beside target from s60, never registers; from s250 guidewire fed in (slack 670 mm), drawn as thick ragged zigzag band; catheter at 1/3."
11,no,doorstep,none,,yes-then-fail,yes,"Tip at target marker by s77 but three stall episodes with push/pull and small (~0.03) dips; catheter tip ends slightly ahead, touching X; never registers."
12,no,doorstep,none,,yes-then-fail,no,"Stalled at 0.47 (s47-120), escaped to doorstep by s175; tip then sits touching target marker with periodic ~10 mm pull-backs until truncation."
13,no,doorstep,none,,yes-then-fail,no,"Tip beside target marker from s80; labelled 43 mm withdrawal not visible at tip; small progress dips then flat 0.91; catheter 8 mm behind."
14,no,doorstep,gw,k9_end_s601,no,yes,"Tip at marker by s79; labelled withdrawal not visible; at end catheter tip touches X, GW tip folded back ~5 mm (tiny curl, not coil)."
15,no,doorstep,gw,k9_end_s601,yes-then-fail,yes,"Tip at marker by s80; ~12 mm pull-back near s290 then 0.93; ends with catheter at doorstep, GW tip folded back ~6 mm (curl only)."
16,no,mid,gw,k9_end_s601,no,yes,"Tip at doorstep by s94; GW withdrawn 80 mm at s124, never re-advanced; both devices fed in 400-550 mm, GW forms huge proximal multi-loop coil."
17,no,distal,gw,k9_end_s601,yes-then-fail,no,"Stalled at 0.47 for 516 steps; GW pulled ~10 mm behind catheter at s558, then advanced to 0.83; truncated short of X with J-hooked tip."
18,no,doorstep,none,,yes-then-fail,no,"Tip at target marker by s85; labelled stalls show no tip retreat; at ~s480 tip slips back ~20 mm (0.85), partial re-advance to 0.88, truncated."
19,no,doorstep,none,,no,no,"GW tip beside target marker from s75 and sits there 525 steps with +-12 mm slack sawtooth (push/pull), never registers; no loop."
20,no,distal,gw,k9_end_s601,yes-then-fail,no,"Same as ep17: stalled at 0.47 for 510 steps, GW pulled behind catheter at s555, then advanced to 0.83; truncated short of X, J-hooked tip."
21,yes,target,none,,no,no,"Straight run to marker by s77, then 34 steps of +-10 mm push/pull at doorstep (labelled withdrawal not visible at tip) before registering."
22,yes,target,none,,yes-then-success,no,"Tip at doorstep by s75; 140-step fight; at s213 GW tip visibly pulled back ~20 mm while catheter held, re-advanced by s218, success s235."
23,yes,target,none,,yes-then-success,no,"Stall at 0.47 (s47-62) with GW tip few mm behind catheter, then ~10 mm dips near s100/s160 with re-advance; reaches marker s170."
24,yes,target,none,,no,unclear,"GW tip beside marker from s78, then 180 steps of push/pull sawtooth at doorstep (labelled withdrawal not visible); registers s258, catheter tip also at marker."
25,yes,target,none,,no,no,"GW tip beside marker from s80; 60 steps of push/pull with ~25 mm slack (labelled withdrawal not visible), registers s147; mild wiggle, no loop."
26,yes,target,none,,no,no,"Smooth advance to 0.98 by s97, slow 0.03 drift back over 40 steps, final push registers at s152; no stall frames, no loop."
